127.0.0.1, 2018-10-11 07:17:48, GET, /myr/blockchain/view, HTTP/1.1, 200, 0.082547
127.0.0.1, 2018-10-11 07:17:48, GET, /myr/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000428
127.0.0.1, 2018-10-11 07:17:48, GET, /myr/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000401
127.0.0.1, 2018-10-11 07:17:48, GET, /myr/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000555
127.0.0.1, 2018-10-11 07:17:48, GET, /myr/static/js/jquery.js, HTTP/1.1, 200, 0.001631
127.0.0.1, 2018-10-11 07:17:48, GET, /myr/static/css/calendar.css, HTTP/1.1, 200, 0.001564
127.0.0.1, 2018-10-11 07:17:48, GET, /myr/static/js/web2py.js, HTTP/1.1, 200, 0.003567
127.0.0.1, 2018-10-11 07:17:48, GET, /myr/static/js/calendar.js, HTTP/1.1, 200, 0.002988
127.0.0.1, 2018-10-11 07:17:48, GET, /myr/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.004699
127.0.0.1, 2018-10-11 07:17:48, GET, /myr/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004308
127.0.0.1, 2018-10-11 07:17:48, GET, /myr/static/images/favicon.ico, HTTP/1.1, 200, 0.000426
127.0.0.1, 2018-10-11 07:17:48, GET, /myr/static/images/favicon.png, HTTP/1.1, 200, 0.000785
127.0.0.1, 2018-10-11 07:18:27, GET, /myr/blockchain/view, HTTP/1.1, 200, 0.067808
127.0.0.1, 2018-10-11 07:18:27, GET, /myr/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000977
127.0.0.1, 2018-10-11 07:18:27, GET, /myr/static/js/web2py.js, HTTP/1.1, 200, 0.001811
127.0.0.1, 2018-10-11 07:18:27, GET, /myr/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000313
127.0.0.1, 2018-10-11 07:18:27, GET, /myr/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000376
127.0.0.1, 2018-10-11 07:18:27, GET, /myr/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000783
127.0.0.1, 2018-10-11 07:18:27, GET, /myr/static/js/calendar.js, HTTP/1.1, 200, 0.000875
127.0.0.1, 2018-10-11 07:18:27, GET, /myr/static/js/jquery.js, HTTP/1.1, 200, 0.000348
127.0.0.1, 2018-10-11 07:18:27, GET, /myr/static/css/calendar.css, HTTP/1.1, 200, 0.000854
127.0.0.1, 2018-10-11 07:18:27, GET, /myr/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000440
127.0.0.1, 2018-10-11 07:18:34, GET, /myr/blockchain/verify, HTTP/1.1, 200, 0.075470
127.0.0.1, 2018-10-11 07:22:05, GET, /myr/blockchain/verify, HTTP/1.1, 200, 0.400417
